REG;Région;DEP;CODCAN;CAN;Canton;NBCOM;PMUN;PTOT
84;Auvergne-Rhône-Alpes;01;01;0101;Ambérieu-en-Bugey;18;32286;33042
84;Auvergne-Rhône-Alpes;01;02;0102;Attignat;18;25785;26310
84;Auvergne-Rhône-Alpes;01;03;0103;Valserhône;12;22235;22682
84;Auvergne-Rhône-Alpes;01;04;0104;Belley;33;25557;26193
84;Auvergne-Rhône-Alpes;01;05;0105;Bourg-en-Bresse-1;2;36084;37243
84;Auvergne-Rhône-Alpes;01;06;0106;Bourg-en-Bresse-2;4;26909;27890
84;Auvergne-Rhône-Alpes;01;07;0107;Ceyzériat;22;27125;27728
84;Auvergne-Rhône-Alpes;01;08;0108;Châtillon-sur-Chalaronne;26;31343;32099
84;Auvergne-Rhône-Alpes;01;09;0109;Gex;7;34536;35276
84;Auvergne-Rhône-Alpes;01;10;0110;Plateau d’Hauteville;26;22268;22747
84;Auvergne-Rhône-Alpes;01;11;0111;Lagnieu;25;35979;36743
84;Auvergne-Rhône-Alpes;01;12;0112;Meximieux;15;35227;35902
84;Auvergne-Rhône-Alpes;01;13;0113;Miribel;8;30570;31034
84;Auvergne-Rhône-Alpes;01;14;0114;Nantua;17;21539;22396
84;Auvergne-Rhône-Alpes;01;15;0115;Oyonnax;2;26035;26558
84;Auvergne-Rhône-Alpes;01;16;0116;Pont-d'Ain;24;22578;23043
84;Auvergne-Rhône-Alpes;01;17;0117;Replonges;31;31517;32180
84;Auvergne-Rhône-Alpes;01;18;0118;Saint-Étienne-du-Bois;26;23169;23664
84;Auvergne-Rhône-Alpes;01;19;0119;Saint-Genis-Pouilly;4;40761;41511
84;Auvergne-Rhône-Alpes;01;20;0120;Thoiry;16;31794;32501
84;Auvergne-Rhône-Alpes;01;21;0121;Trévoux;12;35045;35984
84;Auvergne-Rhône-Alpes;01;22;0122;Villars-les-Dombes;25;35798;36496
84;Auvergne-Rhône-Alpes;01;23;0123;Vonnas;19;25204;25723
32;Hauts-de-France;02;01;0201;Bohain-en-Vermandois;31;21583;21881
32;Hauts-de-France;02;02;0202;Château-Thierry;21;27946;28473
32;Hauts-de-France;02;03;0203;Chauny;21;23804;24490
