DEPP;CODCOMP;COMP;Commune pôle;DEP;CODCOM;COM;Commune;PMUN;PCAP;PTOT
01;015;01015;Arboys en Bugey;01;015;01015;Arbignieu;577;8;585
01;025;01025;Bâgé-Dommartin;01;025;01025;Bâgé-la-Ville;3172;80;3252
01;033;01033;Valserhône;01;033;01033;Bellegarde-sur-Valserine;11520;219;11739
01;036;01036;Valromey-sur-Séran;01;036;01036;Belmont-Luthézieu;611;12;623
01;138;01138;Culoz-Béon;01;039;01039;Béon;474;11;485
01;453;01453;Arvière-en-Valromey;01;059;01059;Brénaz;101;1;102
01;080;01080;Champdor-Corcelles;01;080;01080;Champdor;454;12;466
01;033;01033;Valserhône;01;091;01091;Châtillon-en-Michaille;4113;79;4192
01;453;01453;Arvière-en-Valromey;01;097;01097;Chavornay;201;4;205
01;080;01080;Champdor-Corcelles;01;119;01119;Corcelles;211;3;214
01;262;01262;Montluel;01;120;01120;Cordieux;537;21;558
01;185;01185;Plateau d'Hauteville;01;122;01122;Cormaranche-en-Bugey;788;59;847
01;130;01130;Bresse Vallons;01;130;01130;Cras-sur-Reyssouze;1521;19;1540
01;426;01426;Val-Revermont;01;137;01137;Cuisiat;575;12;587
01;138;01138;Culoz-Béon;01;138;01138;Culoz;2979;43;3022
01;025;01025;Bâgé-Dommartin;01;144;01144;Dommartin;878;10;888
01;130;01130;Bresse Vallons;01;154;01154;Étrez;867;20;887
01;338;01338;Groslée-Saint-Benoit;01;182;01182;Groslée;320;7;327
01;185;01185;Plateau d'Hauteville;01;185;01185;Hauteville-Lompnes;3671;88;3759
01;185;01185;Plateau d'Hauteville;01;186;01186;Hostiaz;92;2;94
01;204;01204;Le Poizat-Lalleyriat;01;204;01204;Lalleyriat;252;6;258
01;033;01033;Valserhône;01;205;01205;Lancrans;1079;21;1100
01;215;01215;Surjoux-Lhopital;01;215;01215;Lhôpital;44;2;46
01;453;01453;Arvière-en-Valromey;01;218;01218;Lochieu;82;1;83
01;036;01036;Valromey-sur-Séran;01;221;01221;Lompnieu;135;1;136
01;286;01286;Parves et Nattages;01;271;01271;Nattages;605;13;618
01;286;01286;Parves et Nattages;01;286;01286;Parves;357;13;370
01;204;01204;Le Poizat-Lalleyriat;01;300;01300;Le Poizat;480;13;493
01;426;01426;Val-Revermont;01;312;01312;Pressiat;255;1;256
01;245;01245;Bohas-Meyriat-Rignat;01;324;01324;Rignat;270;7;277
01;187;01187;Haut Valromey;01;330;01330;Ruffieu;172;5;177
01;338;01338;Groslée-Saint-Benoit;01;338;01338;Saint-Benoît;907;16;923
01;015;01015;Arboys en Bugey;01;340;01340;Saint-Bois;133;2;135
01;215;01215;Surjoux-Lhopital;01;413;01413;Surjoux;94;2;96
01;036;01036;Valromey-sur-Séran;01;414;01414;Sutrieu;224;5;229
01;185;01185;Plateau d'Hauteville;01;417;01417;Thézillieu;306;6;312
01;426;01426;Val-Revermont;01;426;01426;Treffort;1658;38;1696
01;036;01036;Valromey-sur-Séran;01;442;01442;Vieu;381;7;388
