REG;Région;DEP;CODCOM;Commune;CODFRAC_CAN;FRAC_CAN;Fraction cantonale;PMUN;PCAP;PTOT
84;Auvergne-Rhône-Alpes;01;053;Bourg-en-Bresse;05;0105305;Bourg-en-Bresse-1;28982;1026;30008
84;Auvergne-Rhône-Alpes;01;053;Bourg-en-Bresse;06;0105306;Bourg-en-Bresse-2;13390;563;13953
32;Hauts-de-France;02;408;Laon;09;0240809;Laon-1;8761;132;8893
32;Hauts-de-France;02;408;Laon;10;0240810;Laon-2;15459;457;15916
32;Hauts-de-France;02;691;Saint-Quentin;13;0269113;Saint-Quentin-1;18315;448;18763
32;Hauts-de-France;02;691;Saint-Quentin;14;0269114;Saint-Quentin-2;18416;480;18896
32;Hauts-de-France;02;691;Saint-Quentin;15;0269115;Saint-Quentin-3;16082;222;16304
32;Hauts-de-France;02;722;Soissons;16;0272216;Soissons-1;10524;139;10663
32;Hauts-de-France;02;722;Soissons;17;0272217;Soissons-2;17522;479;18001
84;Auvergne-Rhône-Alpes;03;185;Montluçon;09;0318509;Montluçon-1;3685;72;3757
84;Auvergne-Rhône-Alpes;03;185;Montluçon;10;0318510;Montluçon-2;10986;480;11466
84;Auvergne-Rhône-Alpes;03;185;Montluçon;11;0318511;Montluçon-3;9361;181;9542
84;Auvergne-Rhône-Alpes;03;185;Montluçon;12;0318512;Montluçon-4;9115;227;9342
84;Auvergne-Rhône-Alpes;03;190;Moulins;13;0319013;Moulins-1;10223;341;10564
84;Auvergne-Rhône-Alpes;03;190;Moulins;14;0319014;Moulins-2;8983;167;9150
84;Auvergne-Rhône-Alpes;03;310;Vichy;17;0331017;Vichy-1;11987;141;12128
84;Auvergne-Rhône-Alpes;03;310;Vichy;18;0331018;Vichy-2;13128;189;13317
93;Provence-Alpes-Côte d'Azur;04;070;Digne-les-Bains;04;0407004;Digne-les-Bains-1;11128;528;11656
93;Provence-Alpes-Côte d'Azur;04;070;Digne-les-Bains;05;0407005;Digne-les-Bains-2;6851;257;7108
93;Provence-Alpes-Côte d'Azur;04;112;Manosque;07;0411207;Manosque-1;8241;139;8380
93;Provence-Alpes-Côte d'Azur;04;112;Manosque;08;0411208;Manosque-2;6682;220;6902
