Nom géographique GMS;Code géographique;Libellé géographique;[DISP] Nbre de ménages fiscaux;[DISP] Nbre de personnes dans les ménages fiscaux;[DISP] Nbre d'unités de consommation dans les ménages fiscaux;[DISP] 1ᵉʳ quartile (€);[DISP] Médiane (€);[DISP] 3ᵉ quartile (€);[DISP] Écart interquartile (€);[DISP] 1ᵉʳ décile (€);[DISP] 2ᵉ décile (€);[DISP]3ᵉ décile (€);[DISP] 4ᵉ décile (€);[DISP] 6ᵉ décile (€);[DISP] 7ᵉ décile (€);[DISP] 8ᵉ décile (€);[DISP] 9ᵉ décile (€);[DISP] Rapport interdécile 9ᵉ décile/1ᵉʳ decile;[DISP] S80/20;[DISP] Iice de Gini;[DISP] Part des revenus d’activité (%);[DISP] dont part des salaires et traitements(%);[DISP] dont part des iemnités de chômage (%);[DISP] dont part des revenus des activités non salariées (%);[DISP] Part des pensions, retraites et rentes (%);[DISP] Part des revenus du patrimoine et autres revenus (%);[DISP] Part de l'ensemble des prestations sociales (%);[DISP] dont part des prestations familiales (%);[DISP] dont part des minima sociaux (%);[DISP] dont part des prestations logement (%);[DISP] Part des impôts (%);[DEC] Nbre de ménages fiscaux;[DEC] Nbre de personnes dans les ménages fiscaux;[DEC] Nbre d'unités de consommation dans les ménages fiscaux;[DEC] Part des ménages fiscaux imposés (%);[DEC] 1ᵉʳ quartile (€);[DEC] Médiane (€);[DEC] 3ᵉ quartile (€);[DEC] Écart interquartile (€);[DEC] 1ᵉʳ décile (€);[DEC] 2ᵉ décile (€);[DEC] 3ᵉ décile  (€);[DEC] 4ᵉ décile (€);[DEC] 6ᵉ décile (€);[DEC] 7ᵉ décile (€);[DEC] 8ᵉ décile (€);[DEC] 9ᵉ décile (€);[DEC] Rapport interdécile D9/D1;[DEC] S80/S20;[DEC] Iice de Gini;[DEC] Part des revenus d’activité (%);[DEC] dont part des salaires et traitements (%);[DEC] dont part des iemnités de chômage (%);[DEC] dont part des revenus des activités non salariées (%);[DEC] Part des pensions, retraites et rentes (%);[DEC] Part des autres revenus (%)
L'Abergement-Clémenciat;01001;L'Abergement-Clémenciat;346;895;590.8;;25820;;;;;;;;;;;;;;;;;;;;;;;;;346;895;590.8;;;26410;;;;;;;;;;;;;;;;;;;
L'Abergement-de-Varey;01002;L'Abergement-de-Varey;115;266;181;;24480;;;;;;;;;;;;;;;;;;;;;;;;;115;266;181;;;24950;;;;;;;;;;;;;;;;;;;
Ambérieu-en-Bugey;01004;Ambérieu-en-Bugey;6855;15092;10398.2;15800;21660;28430;12630;11890;14640;17040;19360;23980;26880;30590;36450;3.1;4.1;0.28;72.3;65.7;3.2;3.4;25.3;10.2;7;2.6;3;1.4;-14.8;6861;15103;10406.5;50;13180;20940;29260;16080;7070;11530;15080;18120;23890;27290;31860;39380;5,6;8.1;0.368;67.9;61.5;3.2;3.2;24.4;7.7
Ambérieux-en-Dombes;01005;Ambérieux-en-Dombes;800;2028;1329.7;20010;24610;31180;11170;15560;18980;21100;22670;26470;29780;32780;40580;2.6;3.3;0.246;81.5;74.9;2.3;4.3;21.4;10;3.4;2.1;0.9;0.4;-16.3;801;2030;1331.2;61;18900;24800;32660;13760;13450;17650;20350;22080;27070;30980;34570;43610;3,2;4.4;0.298;73.2;67.2;2.2;3.8;19.7;7.1
Ambléon;01006;Ambléon;51;107;76.6;;24210;;;;;;;;;;;;;;;;;;;;;;;;;51;107;76.6;;;24080;;;;;;;;;;;;;;;;;;;
Ambronay;01007;Ambronay;1184;2874;1915.7;19490;24860;31530;12030;15170;18150;20740;22520;27340;30040;33940;39460;2.6;3;0.213;77.2;72.7;2.4;2.1;26.2;7.2;4.2;2.1;1.4;0.7;-14.8;1184;2874;1915.7;60;18460;24950;32840;14390;12040;16800;19990;22340;27840;30990;35760;42260;3,5;4.1;0.26;70.9;66.6;2.4;1.9;24.7;4.4
Ambutrix;01008;Ambutrix;326;753;516.3;;26300;;;;;;;;;;;;;;;;;;;;;;;;;326;753;516.3;;;26720;;;;;;;;;;;;;;;;;;;
Andert-et-Condon;01009;Aert-et-Coon;157;380;256.8;;24810;;;;;;;;;;;;;;;;;;;;;;;;;158;381;257.8;;;24300;;;;;;;;;;;;;;;;;;;
Anglefort;01010;Anglefort;481;1122;760.1;;24700;;;;;;;;;;;;;;;;;;;;;;;;;481;1122;760.1;;;24900;;;;;;;;;;;;;;;;;;;
Apremont;01011;Apremont;161;405;265.9;;24530;;;;;;;;;;;;;;;;;;;;;;;;;161;405;265.9;;;24810;;;;;;;;;;;;;;;;;;;
